Date,DayOfWeek,Month,Season,Weekend,Holiday,Ramadan,Promotion,NearbyEvent,TemperatureC,RainfallMM,FootTraffic,AvgOrderValue,TopSellingProduct,WorkingHours,DailyRevenue
2023-01-01,Sunday,1,Winter,1,0,0,0,0,17,0.6,207,7.21,Tea,11,1580.95
2023-01-02,Monday,1,Winter,0,0,0,1,0,9,8.4,163,9.01,Cappuccino,10,1624.06
2023-01-03,Tuesday,1,Winter,0,0,0,0,0,14,0.0,137,7.55,Espresso,10,905.79
2023-01-04,Wednesday,1,Winter,0,0,0,1,0,6,0.0,163,8.83,Pastry,10,1655.59
2023-01-05,Thursday,1,Winter,0,0,0,0,1,13,1.5,177,5.4,Espresso,10,979.45
2023-01-06,Friday,1,Winter,0,0,0,0,0,12,0.9,151,8.81,Espresso,10,1442.56
2023-01-07,Saturday,1,Winter,1,0,0,1,1,7,1.2,324,6.0,Sandwich,11,2154.06
2023-01-08,Sunday,1,Winter,1,0,0,0,0,8,8.5,211,7.63,Latte,11,1583.79
2023-01-09,Monday,1,Winter,0,0,0,1,0,5,8.2,146,5.23,Tea,10,677.94
2023-01-10,Tuesday,1,Winter,0,0,0,0,0,15,7.2,135,6.34,Mocha,10,759.18
2023-01-11,Wednesday,1,Winter,0,0,0,1,1,6,2.2,231,7.32,Tea,10,1892.75
2023-01-12,Thursday,1,Winter,0,0,0,1,0,16,4.4,197,7.43,Sandwich,10,1477.53
2023-01-13,Friday,1,Winter,0,0,0,1,0,17,0.2,192,9.94,Latte,10,1960.61
2023-01-14,Saturday,1,Winter,1,0,0,1,0,8,2.8,227,6.65,Americano,11,1519.28
2023-01-15,Sunday,1,Winter,1,0,0,0,0,8,0.0,190,4.65,Americano,11,937.72
2023-01-16,Monday,1,Winter,0,0,0,0,0,5,0.0,153,8.09,Latte,10,1192.85
2023-01-17,Tuesday,1,Winter,0,1,0,1,0,11,0.8,178,8.5,Americano,10,1729.8
2023-01-18,Wednesday,1,Winter,0,0,0,0,0,14,0.8,127,7.0,Espresso,10,961.69
2023-01-19,Thursday,1,Winter,0,0,0,1,0,15,6.9,147,5.64,Espresso,10,960.19
2023-01-20,Friday,1,Winter,0,0,0,1,0,11,2.6,163,9.8,Sandwich,10,1757.35
2023-01-21,Saturday,1,Winter,1,0,0,0,0,15,1.4,220,7.35,Sandwich,11,1673.77
2023-01-22,Sunday,1,Winter,1,0,0,0,0,8,7.0,217,7.4,Pastry,11,1596.72
2023-01-23,Monday,1,Winter,0,0,0,0,0,17,3.7,155,10.02,Pastry,10,1652.88
2023-01-24,Tuesday,1,Winter,0,0,0,0,0,7,3.2,133,7.89,Pastry,10,1178.98
2023-01-25,Wednesday,1,Winter,0,0,0,0,0,9,8.5,111,5.59,Americano,10,523.75
2023-01-26,Thursday,1,Winter,0,0,0,0,0,15,0.0,116,9.25,Sandwich,10,972.7
2023-01-27,Friday,1,Winter,0,0,0,1,0,17,0.0,192,8.21,Americano,10,1671.5
2023-01-28,Saturday,1,Winter,1,0,0,0,0,13,6.1,186,6.6,Tea,11,1271.24
2023-01-29,Sunday,1,Winter,1,0,0,1,0,5,2.9,227,10.11,Mocha,11,2416.76
2023-01-30,Monday,1,Winter,0,0,0,1,0,17,5.8,180,8.42,Cappuccino,10,1743.76
